sample,method,spearman,auroc,error_capture_top10,top10_overlap,relative_l2_correction_error,relative_A_correction_error,iterations_executed
11,cg20,0.5097302700987053,0.9079725498877328,0.22736386608565048,0.6213592233009708,0.690606806621926,0.36525979544640563,20.0
11,diagonal_pcg20,0.6077188014090551,0.9736883716517504,0.27003919324312686,0.7281553398058253,0.492626734737107,0.21460342417595482,20.0
11,amg,0.9890226468063801,0.9998840433045549,0.28963644058287136,0.9805825242718447,0.06366662537378005,0.08289699363855736,
12,raw,-0.15839296411200915,0.32844206908910745,0.07483331157470276,0.009708737864077669,,,
12,prediction_magnitude,0.5520199511837492,0.8807332679759232,0.18815016147779737,0.33980582524271846,,,
12,boundary_distance,0.37776255949707704,0.694659667098869,0.11831799410417841,0.042144748455428066,,,
12,ensemble,0.354039444156355,0.8177371577959794,0.2096145215032122,0.44660194174757284,,,
12,poisson_pcg5,0.952577448859166,0.9519306789791594,0.2553026378496867,0.6699029126213593,0.32051430060117686,0.1683186603841502,5.0
12,poisson_pcg10,0.9981914070881909,0.9982290250150216,0.2923893637330405,0.941747572815534,0.10968025435532551,0.06074564113494072,10.0
12,poisson_pcg20,0.9999673105464558,0.9999578339289291,0.29347375130307957,0.9902912621359223,0.006388495204188145,0.006684452660945019,20.0
12,poisson_pcg40,0.9999998547135397,1.0,0.29347803719203375,1.0,5.594099303081196e-05,8.567384928219752e-05,40.0
12,poisson_pcg80,1.0,1.0,0.29347803719203375,1.0,5.19596038840076e-09,8.036434520860072e-09,80.0
12,cg20,0.46226473651741645,0.7436092048533148,0.165074579969392,0.17475728155339806,0.7381800505700803,0.28830659673369535,20.0
12,diagonal_pcg20,0.9748800492632858,0.9974700357357452,0.2924481276276312,0.9320388349514563,0.1259346276068805,0.06966604084999097,20.0
12,amg,0.9935063769580142,0.9992726352740268,0.29315986203918176,0.9514563106796117,0.10683356043137904,0.07220655048259805,
13,raw,-0.1991952359452113,0.36079398711826527,0.06669667399947134,0.0,,,
13,prediction_magnitude,0.4837071293183606,0.7589681962408947,0.11663597034231746,0.06796116504854369,,,
13,boundary_distance,0.3263701256105046,0.656878867419331,0.10816434993286651,0.07060900264783761,,,
13,ensemble,0.15495646994134896,0.48345508786355057,0.14106732371563516,0.1262135922330097,,,
13,poisson_pcg5,0.9554565682891064,0.9880142942980931,0.2572314630140634,0.8737864077669902,0.19422568409345906,0.16219863582831506,5.0
13,poisson_pcg10,0.9935381388133895,0.9945184107607813,0.25885696083227167,0.9514563106796117,0.06906082545924387,0.056861539048431387,10.0
13,poisson_pcg20,0.9999230093519776,0.9998524187512519,0.25940935297391854,0.9902912621359223,0.008588425166592023,0.007515834313927364,20.0
13,poisson_pcg40,0.9999998323617766,1.0,0.25943940320205916,1.0,6.256489130458974e-05,0.00010134939473648386,40.0
13,poisson_pcg80,1.0,1.0,0.25943940320205916,1.0,8.276767106857477e-09,1.2994228187755203e-08,80.0
13,cg20,0.5846795204205707,0.7505560650622477,0.21578366443071006,0.3883495145631068,0.6099625784771822,0.29566287291048643,20.0
13,diagonal_pcg20,0.9773624919533653,0.9963210102990628,0.2579087412342104,0.912621359223301,0.11043607449831637,0.05789252588377582,20.0
13,amg,0.9969097569916314,0.9990934294719753,0.25918923962748697,0.9514563106796117,0.0714803783243212,0.06847364482253845,
14,raw,-0.15059159529003646,0.583620589692504,0.04191092953389226,0.009708737864077669,,,
14,prediction_magnitude,0.5692483772619984,0.7788178741975269,0.12598001255509605,0.07766990291262135,,,
14,boundary_distance,0.49293263322765013,0.8257961481294077,0.18986210961757866,0.3276699029126214,,,
14,ensemble,0.4331857632680065,0.6011932998113069,0.13668055544719782,0.038834951456310676,,,
