sample,method,spearman,auroc,error_capture_top10,top10_overlap,corrected_prediction_relative_l2,relative_l2_correction_error,iterations_executed
5,amg,0.9817283389063728,0.9988931406343885,0.36137162571434495,0.9514563106796117,0.0038045171569120128,0.16818222107396932,
6,raw,0.2828889765574708,0.8146168685367319,0.2568846626567718,0.49514563106796117,,,
6,prediction_magnitude,-0.08004651401902581,0.3979317542139717,0.05115530909876262,0.0,,,
6,ensemble,0.24717215551462698,0.7139137493016244,0.21193365028605454,0.3592233009708738,,,
6,cg20,0.4738931518668192,0.8893773125454603,0.3100670551689741,0.6601941747572816,0.007030067206748179,0.6554090497277465,20.0
6,diagonal_pcg20,0.8596004287068164,0.9345055501091047,0.3296853797125054,0.7281553398058253,0.005374455116256999,0.5010573038575222,20.0
6,poisson_pcg20,0.9999999776482369,1.0,0.3661950596593257,1.0,3.6047379009967045e-07,3.3606760401123866e-05,20.0
6,amg,0.904410315785709,0.9923468581006293,0.35906763684335774,0.912621359223301,0.0023662606473276136,0.220605094754211,
7,raw,-0.052518149631642946,0.6540590114164637,0.10798643019827944,0.1650485436893204,,,
7,prediction_magnitude,0.44239124749660247,0.6135690416706198,0.09960232878898377,0.009708737864077669,,,
7,ensemble,0.2760198774229311,0.7172870349872975,0.12511752367262086,0.24271844660194175,,,
7,cg20,0.027741700790358342,0.7345013335019976,0.169321166653235,0.36893203883495146,0.01225573996372811,0.8281341321404397,20.0
7,diagonal_pcg20,0.8173505337601029,0.9845566764702782,0.2276257642332565,0.7961165048543689,0.005663991866687362,0.38272230015092595,20.0
7,poisson_pcg20,0.9999989271153709,1.0,0.2346182838003035,1.0,4.335426282973844e-06,0.0002929496295560475,20.0
7,amg,0.9801527184214289,0.9883727059021958,0.23162283506945158,0.8252427184466019,0.002077887971646075,0.1404052270345931,
8,raw,0.28938012972963306,0.7832874777310437,0.21355607192636572,0.4368932038834951,,,
8,prediction_magnitude,0.3765555262499105,0.6990607507668954,0.11221238854988784,0.04854368932038835,,,
8,ensemble,0.412872950343323,0.8398321790371378,0.24437712620302168,0.4563106796116505,,,
8,cg20,0.2708327037586724,0.7668532515311555,0.2254673965124886,0.44660194174757284,0.011936557161751401,0.89321217836543,20.0
8,diagonal_pcg20,0.4092460526786353,0.8755152166808977,0.25951387962870714,0.5728155339805825,0.009736986621958411,0.7286183874847226,20.0
8,poisson_pcg20,0.9999998100100135,1.0,0.3398304779344398,1.0,1.5159137090745635e-06,0.00011343577280685832,20.0
8,amg,0.9835205367999428,0.9975859924311903,0.3379973759684583,0.9320388349514563,0.0018611010496768752,0.13926613010883945,
9,raw,0.2402024510943423,0.7639437926272624,0.21696155185979435,0.4368932038834951,,,
9,prediction_magnitude,0.6255616551033545,0.8427627209765662,0.1476097285545109,0.1941747572815534,,,
9,ensemble,0.48358722328517273,0.8441858258752095,0.1886727551552006,0.34951456310679613,,,
9,cg20,0.2803398250303984,0.7894226410718616,0.2230843261058044,0.4368932038834951,0.007764263602022938,0.8616210674417597,20.0
9,diagonal_pcg20,0.5412235578642443,0.8006071914234212,0.22218100708876437,0.33980582524271846,0.0062377044381123955,0.692214720138082,20.0
9,poisson_pcg20,0.9999991282812387,1.0,0.315026552847745,1.0,2.205980012475768e-06,0.0002448034933550344,20.0
9,amg,0.9640240102639296,0.9931163888976735,0.3097488053136315,0.8446601941747572,0.002001208872776602,0.22207949311335123,
10,raw,0.4490880145375867,0.7555000368953122,0.189293421228841,0.2524271844660194,,,
10,prediction_magnitude,0.4982464147771976,0.6743198085660373,0.08067606682450758,0.0,,,
10,ensemble,0.6296316988234032,0.7986148445653205,0.19057460622957215,0.2815533980582524,,,
10,cg20,0.41362881991631495,0.8088611998355523,0.1877631447310307,0.3592233009708738,0.03573720135874086,0.9581369147329764,20.0
10,diagonal_pcg20,0.33454894142049924,0.7681393166988183,0.1970075592623824,0.44660194174757284,0.029280349869384596,0.7850246527290664,20.0
10,poisson_pcg20,0.999998144803662,1.0,0.25595586965747813,1.0,2.246375401479628e-05,0.0006022674173335367,20.0
10,amg,0.9652294632000572,0.9950244036136323,0.25354512972332366,0.8640776699029126,0.010385657554294731,0.27844603125620315,
11,raw,0.3659594159037265,0.6746255125813014,0.15946998156285283,0.22330097087378642,,,
11,prediction_magnitude,-0.17847769964594806,0.5126234675268545,0.04516544880230306,0.0,,,
11,ensemble,0.14223459516486658,0.6767127330993117,0.16478077911212402,0.22330097087378642,,,
11,cg20,0.5243066147807738,0.7993422092912937,0.2649134261867031,0.5242718446601942,0.011012240664369342,0.608912193568231,20.0
11,diagonal_pcg20,0.8636183928188256,0.9825748711299452,0.31111905127255707,0.7572815533980582,0.004522374645462982,0.250060741445294,20.0
11,poisson_pcg20,0.9999935850439883,0.9999789169644645,0.3242917905423129,0.9902912621359223,2.2527553884970054e-05,0.0012456413431107315,20.0
11,amg,0.9415370860453472,0.9966688803853979,0.3219717770847913,0.9029126213592233,0.0026975823742944873,0.1491604525296417,
12,raw,0.2834347730849009,0.7312123799584664,0.1589390938749932,0.2621359223300971,,,
12,prediction_magnitude,0.38601048968242613,0.7117000305704015,0.18660034923303773,0.3883495145631068,,,
12,ensemble,0.3878558847721908,0.8080705860029727,0.17620318996356718,0.3300970873786408,,,
12,cg20,0.3428611486124025,0.8617058284051737,0.22814304099812036,0.5825242718446602,0.04628582230752376,0.8564818745567071,20.0
12,diagonal_pcg20,0.24690472784493236,0.7308645098721314,0.17299444042710763,0.3883495145631068,0.046512524218379724,0.8606768108870041,20.0
