sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
170,20,20,20,equilibrated_flux,1.0,100.0,0.9970703125,False,0.9805825242718447,101,920,0.013164518195302696,0.6123600362013621,5.423478306577152e-06,0.00024380741314965437,5.1718631824741934e-14,4.0132910235407883e-13,0,0,0,0,0.0,0.0,0
170,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.5453861717180812e-06,0.42201465653655085,6.17787715671488e-11,2.7772071279369206e-09,5.1718631824741934e-14,4.0132910235407883e-13,0,0,0,0,0.0,0.0,0
170,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.074190271010492e-06,0.42201465653655085,6.17787715671488e-11,2.7772071279369206e-09,5.1718631824741934e-14,4.0132910235407883e-13,0,0,0,0,0.0,0.0,0
171,20,20,20,baseline,1.0,100.0,0.982421875,False,0.912621359223301,94,912,0.04533905114358774,0.47569060776501504,1.511704184469315e-05,0.00023476079494110598,2.870211302305151e-14,8.850099936647731e-13,0,0,0,0,0.0,0.0,0
171,20,20,20,equilibrated_flux,1.0,100.0,0.9921875,False,0.9611650485436893,99,917,0.021567360793982342,0.47569060776501504,1.511704184469315e-05,0.00023476079494110598,2.870211302305151e-14,8.850099936647731e-13,0,0,0,0,0.0,0.0,0
171,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,3.1220249142528724e-07,0.7306925770810515,2.5088194917965125e-10,3.896082746004162e-09,2.870211302305151e-14,8.850099936647731e-13,0,0,0,0,0.0,0.0,0
171,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,2.2812404303066803e-07,0.7306925770810515,2.5088194917965125e-10,3.896082746004162e-09,2.870211302305151e-14,8.850099936647731e-13,0,0,0,0,0.0,0.0,0
172,20,20,20,baseline,1.0,100.0,0.994140625,False,0.9902912621359223,102,916,0.013148275525766534,0.8095234455021899,1.735653479419404e-06,0.00017069804830004175,3.1550165615100575e-14,4.4072642408956923e-13,0,0,0,0,0.0,0.0,0
172,20,20,20,equilibrated_flux,1.0,100.0,0.994140625,False,0.9902912621359223,102,916,0.01064383730603064,0.8095234455021899,1.735653479419404e-06,0.00017069804830004175,3.1550165615100575e-14,4.4072642408956923e-13,0,0,0,0,0.0,0.0,0
172,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,4.26004944181694e-11,0.690010853806175,3.091752092749527e-14,3.0408947196909786e-12,3.1550165615100575e-14,4.4072642408956923e-13,0,0,0,0,0.0,0.0,0
